國文,英文,數學,地理,歷史
72,98,73,70,98
69,71,82,90,86
63,93,91,74,76
65,95,82,67,71
95,91,63,66,97
64,91,71,64,61
90,94,63,72,63
75,98,89,95,79
81,91,82,99,99
95,67,71,63,63
95,64,82,74,78
62,85,67,100,95
69,67,89,92,68
98,80,67,86,100
92,88,78,79,72
77,84,91,60,68
67,73,66,95,61
100,82,65,67,61
64,96,67,61,75
80,64,84,60,80
76,98,100,78,87
100,78,78,62,74
87,60,100,72,93
83,71,80,60,79
74,62,65,100,83
74,84,83,98,84
80,73,81,89,84
89,79,84,71,81
100,95,87,84,96
78,80,89,74,73
75,71,72,100,92
72,84,92,91,100
74,89,77,62,72
82,95,77,82,80
80,70,65,91,76
87,62,60,78,96
79,85,76,100,67
61,94,99,80,87
82,99,93,77,73
62,63,62,73,80
96,62,89,70,78
64,63,75,75,98
69,100,96,99,93
88,63,83,77,97
80,79,91,69,65
86,73,62,79,92
62,70,67,82,76
97,63,89,72,91
77,75,97,80,82
80,78,96,84,68
