城市,開始時間,結束時間,最高溫度,最低溫度
臺北市,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,35.0,29.0
北部地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,35.0,28.0
中部地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,35.0,27.0
南部地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,34.0,28.0
東北部地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,34.0,27.0
東部地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,32.0,28.0
東南部地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,32.0,28.0
澎湖地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,33.0,28.0
金門地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,33.0,27.0
馬祖地區,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,32.0,27.0
陽明山,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,29.0,23.0
拉拉山,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,25.0,18.0
梨山,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,25.0,16.0
合歡山,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,18.0,10.0
日月潭,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,30.0,22.0
溪頭,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,26.0,19.0
阿里山,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,19.0,13.0
玉山,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,19.0,6.0
墾丁,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,31.0,27.0
小琉球,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,34.0,28.0
龍洞(東北角風景區),2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,33.0,29.0
太魯閣,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,32.0,27.0
三仙台(東部風景區),2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,31.0,27.0
綠島,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,33.0,27.0
蘭嶼,2023-07-22T12:00:00+08:00,2023-07-29T00:00:00+08:00,30.0,26.0
